title,url
Imagine Dragons - Demons,https://www.youtube.com/watch?v=MA0aCUxItYA
Lana Del Rey - Video Games,https://www.youtube.com/watch?v=cE6wxDqdOV0
Imagine Dragons - Believer,https://www.youtube.com/watch?v=W0DM5lcj6mw
Lana Del Rey - Young and Beautiful,https://www.youtube.com/watch?v=o_1aF54DO60
Imagine Dragons - Bad Liar (Lyrics),https://www.youtube.com/watch?v=uEDhGX-UTeI
Gnossienne No.1 (1 hr) - Erik Satie,https://www.youtube.com/watch?v=niPsF2EJ7IE
Loving Caliber - I'm Gonna Let The Sunshine In Today,https://www.youtube.com/watch?v=UCMfLrxfDHM
Coldplay - Viva la Vida (Lyrics),https://www.youtube.com/watch?v=y4zdDXPYo0I
Olivia Addams - Fool Me Once,https://www.youtube.com/watch?v=5gRHm6bkWKA
Craig David - Rise & Fall ft. Sting (Official Video),https://www.youtube.com/watch?v=pU2ukeS2JTE
Broken Angel (Albert Vishi ft. Taulant Sllamniku Cover),https://www.youtube.com/watch?v=5miHGQVFJm0
SHOUSE - Won't Forget You,https://www.youtube.com/watch?v=O03jpIR84VQ
Alec Benjamin ~ Outrunning Karma,https://www.youtube.com/watch?v=SqGrXzIPoQo
Skylar Grey - Everything I Need,https://www.youtube.com/watch?v=9bCp7j3nC30
"ZAYN, Zhavia Ward - A Whole New World",https://www.youtube.com/watch?v=rg_zwK_sSEY
Heyat Davam Edir (1 hour),https://www.youtube.com/watch?v=rA2dAmhtc_k
Passenger - Simple Song (Lyrics),https://www.youtube.com/watch?v=4bBs9Q7XDPA
Maher Zain - Thank you Allah,https://youtu.be/RBrdl0v_anc?si=cu3qNsVyUIIzZGvv
"Alan Walker - Different World feat. Sofia Carson, K-391",https://www.youtube.com/watch?v=44VBVj7n91s
Maher Zain - Insha Allah | ماهر زين - إن شاء الله,https://www.youtube.com/watch?v=KfXIF2Mm2Kc
Maher Zain - Jannah (English Version),https://www.youtube.com/watch?v=0w2YGCoXO80
Maher Zain - Thank You Allah (Lyrics),https://www.youtube.com/watch?v=YSoDI4JbD2M
Enrique Iglesias (feat. Nicole Scherzinger) - Heartbeat,https://www.youtube.com/watch?v=2hs0rtK9xwk
Sebastián Yatra - Adiós (Letra),https://www.youtube.com/watch?v=DULoaFTPB60
"Alan Walker - Lily (Lyrics) ft. K391, Emelie Hollow",https://www.youtube.com/watch?v=sZ5OUc7Ccwo
Taylor Swift - Out Of The Woods (Lyrics),https://www.youtube.com/watch?v=FEzj8K1cL6w
One Direction - Story Of My Life,https://youtu.be/W-TE_Ys4iwM?si=RViOxRuaXxdz3pmm
Taylor Swift - Cruel Summer (Lyrics),https://www.youtube.com/watch?v=P8T1rUpVdXE
Lewis Capaldi - Before You Go (Lyrics),https://www.youtube.com/watch?v=c-KFmp9MMmQ
Harry Styles - Sign of the Times,https://www.youtube.com/watch?v=qN4ooNx77u0
Sunset Sons - VROL,https://www.youtube.com/watch?v=vMIgQ36zhAg
Passenger - Patient Love (Lyrics),https://www.youtube.com/watch?v=6LcKdxaSZVU
Billie Eilish - lovely (Lyrics) ft. Khalid,https://www.youtube.com/watch?v=8VLXHyHRXjc
Arash feat.Helena - Angels Lullaby(Lyrics),https://www.youtube.com/watch?v=MeHCr0e-8vk
Billie Eilish - Birds Of A Feather (Lyrics),https://www.youtube.com/watch?v=d5gf9dXbPi0
Zivert – Goodbye | 2025,https://www.youtube.com/watch?v=7vowLoOBk4Q
Alphaville - Forever Young (Lyrics),https://www.youtube.com/watch?v=-ym0I1D8PfA
Zivert - DEL MAR |  2021,https://www.youtube.com/watch?v=mH8l-7tRVnc
Taylor Swift - Begin Again,https://youtu.be/cMPEd8m79Hw?si=9zE5-51p0xGyEgSO
Elyanna - Enta Eih (Hijazi Remix),https://www.youtube.com/watch?v=zFtsS4A8fc0
La Tormenta De Arena - Dorian (letra),https://www.youtube.com/watch?v=28W-KrHjmK8
Lil Wayne feat. Bruno Mars - Mirror (Lyrics),https://www.youtube.com/watch?v=97xukmZfiGU
Arash feat. Helena - Pure Love (Official Video),https://www.youtube.com/watch?v=KWKL8hvHR6E
2CELLOS - Love Story,https://www.youtube.com/watch?v=UdHopftQD3A
Wiz Khalifa - See You Again ft. Charlie Puth,https://www.youtube.com/watch?v=RgKAFK5djSk
twenty one pilots - Heathens,https://youtu.be/UprcpdwuwCg?si=O6_fwxx8TOkfjIXi
the luka state - bring this all together,https://www.youtube.com/watch?v=OcJ5EgxsWBg
New Moon - Edward leaves - Alexandre Desplat,https://www.youtube.com/watch?v=MS4Tf9mr44M
Каспийский Груз - Греет feat. Loc-Dog,https://www.youtube.com/watch?v=kSy7h4h9iC4
Justin Bieber - Baby,https://www.youtube.com/watch?v=khOFw2f4bQY
OST Autumn in My Heart - Romance,https://www.youtube.com/watch?v=y7roujOll3M
Sunset Sons - Remember,https://www.youtube.com/watch?v=PH_P12XqY9Y
Irakliy - Ya s toboy(cover),https://youtu.be/3WmdZOF5bKk?si=LcXY8Gohxxx4cZSA
Morandi - Angels [Official Video],https://www.youtube.com/watch?v=G0w8CEzMBrY
Passenger - Hell Or High Water,https://youtu.be/zgDbp5C74sU?si=R8Q5HZq2vzhGL57g
Tones and I: Dance Monkey (US TV Debut),https://www.youtube.com/watch?v=4iQxG8ZjYO8
